wid,prompt,response
w0b34d6e,Getting a flat tire on the way home from work,-5
w0b34d6e,Free dinner with a friend at your favorite restaurant,7
w0b34d6e,Finding a $20 bill on the street,5
w0b34d6e,Winning the lottery,10
w0b34d6e,Eating a spoonfull of rice,0
w0b34d6e,Breaking both legs in a car accident,-10
w0b34d6e,Stubbing your toe,-5
w8318954,Finding a $20 bill on the street,3
w8318954,Winning the lottery,9
w8318954,Breaking both legs in a car accident,-10
w8318954,Stubbing your toe,-7
w8318954,Free dinner with a friend at your favorite restaurant,7
w8318954,Getting a flat tire on the way home from work,-6
w8318954,Eating a spoonfull of rice,1
w76890f1,Eating a spoonfull of rice,2
w76890f1,Free dinner with a friend at your favorite restaurant,9
w76890f1,Winning the lottery,10
w76890f1,Stubbing your toe,-4
w76890f1,Getting a flat tire on the way home from work,-7
w76890f1,Breaking both legs in a car accident,-10
w76890f1,Finding a $20 bill on the street,5
w1e31a72,Winning the lottery,10
w1e31a72,Free dinner with a friend at your favorite restaurant,10
w1e31a72,Eating a spoonfull of rice,1
w1e31a72,Finding a $20 bill on the street,10
w1e31a72,Breaking both legs in a car accident,-10
w1e31a72,Getting a flat tire on the way home from work,-7
w1e31a72,Stubbing your toe,-4
w5e62b40,Breaking both legs in a car accident,-10
w5e62b40,Getting a flat tire on the way home from work,-4
w5e62b40,Winning the lottery,8
w5e62b40,Free dinner with a friend at your favorite restaurant,6
w5e62b40,Finding a $20 bill on the street,6
w5e62b40,Eating a spoonfull of rice,2
w5e62b40,Stubbing your toe,-3
