wid,prompt,response
w616cc3b,Free dinner with a friend at your favorite restaurant,6
w616cc3b,Winning the lottery,9
w616cc3b,Stubbing your toe,-3
w616cc3b,Eating a spoonfull of rice,1
w616cc3b,Getting a flat tire on the way home from work,-6
w616cc3b,Finding a $20 bill on the street,5
w616cc3b,Breaking both legs in a car accident,-9
wf04dfee,Stubbing your toe,-4
wf04dfee,Winning the lottery,8
wf04dfee,Finding a $20 bill on the street,9
wf04dfee,Free dinner with a friend at your favorite restaurant,8
wf04dfee,Getting a flat tire on the way home from work,-8
wf04dfee,Breaking both legs in a car accident,-10
wf04dfee,Eating a spoonfull of rice,1
w251ef24,Getting a flat tire on the way home from work,-5
w251ef24,Breaking both legs in a car accident,-10
w251ef24,Stubbing your toe,-1
w251ef24,Finding a $20 bill on the street,2
w251ef24,Winning the lottery,9
w251ef24,Free dinner with a friend at your favorite restaurant,5
w251ef24,Eating a spoonfull of rice,2
wc5f34d8,Stubbing your toe,-3
wc5f34d8,Breaking both legs in a car accident,-10
wc5f34d8,Free dinner with a friend at your favorite restaurant,10
wc5f34d8,Winning the lottery,3
wc5f34d8,Finding a $20 bill on the street,3
wc5f34d8,Getting a flat tire on the way home from work,-10
wc5f34d8,Eating a spoonfull of rice,10
w0c074de,Getting a flat tire on the way home from work,-10
w0c074de,Finding a $20 bill on the street,10
w0c074de,Eating a spoonfull of rice,5
w0c074de,Free dinner with a friend at your favorite restaurant,10
w0c074de,Breaking both legs in a car accident,-10
w0c074de,Winning the lottery,10
w0c074de,Stubbing your toe,-10
w3e97a1f,Getting a flat tire on the way home from work,-5
w3e97a1f,Finding a $20 bill on the street,10
w3e97a1f,Free dinner with a friend at your favorite restaurant,10
w3e97a1f,Breaking both legs in a car accident,-10
w3e97a1f,Eating a spoonfull of rice,1
w3e97a1f,Winning the lottery,10
w3e97a1f,Stubbing your toe,-2
wd5a2d8f,Eating a spoonfull of rice,10
wd5a2d8f,Stubbing your toe,-2
wd5a2d8f,Finding a $20 bill on the street,3
wd5a2d8f,Winning the lottery,6
wd5a2d8f,Free dinner with a friend at your favorite restaurant,6
wd5a2d8f,Breaking both legs in a car accident,-9
