wid,prompt,response
w6068561,Winning the lottery,10
w6068561,Breaking both legs in a car accident,-10
w6068561,Getting a flat tire on the way home from work,-6
w6068561,Eating a spoonfull of rice,5
w6068561,Stubbing your toe,-3
w6068561,Finding a $20 bill on the street,5
w6068561,Free dinner with a friend at your favorite restaurant,8
w784e727,Winning the lottery,10
w784e727,Finding a $20 bill on the street,8
w784e727,Free dinner with a friend at your favorite restaurant,8
w784e727,Eating a spoonfull of rice,0
w784e727,Getting a flat tire on the way home from work,-10
w784e727,Breaking both legs in a car accident,-10
w784e727,Stubbing your toe,-8
w9c17360,Stubbing your toe,-2
w9c17360,Finding a $20 bill on the street,4
w9c17360,Getting a flat tire on the way home from work,-5
w9c17360,Free dinner with a friend at your favorite restaurant,5
w9c17360,Eating a spoonfull of rice,0
w9c17360,Winning the lottery,8
w9c17360,Breaking both legs in a car accident,-8
waabf87a,Finding a $20 bill on the street,2
waabf87a,Winning the lottery,8
waabf87a,Stubbing your toe,-2
waabf87a,Getting a flat tire on the way home from work,-5
waabf87a,Breaking both legs in a car accident,-8
waabf87a,Eating a spoonfull of rice,3
waabf87a,Free dinner with a friend at your favorite restaurant,6
